0;seg_num;seg_dia;disp_energy;seg_num_pred;seg_dia_pred;disp_energy_pred;RMSE_rho;dev_mseg;dev_sigma;dev_eps;AARD_avg;phi;teta;colormap
neopentane;2.354001;3.955;225.689987;2.256894;3.813993;230.908688;;;;;;;;
beta-propiolactone;2.903001;3.154;336.839998;2.905427;3.287079;307.736597;;;;;;;;
dimethyl phthalate;5.68;3.45;284.559992;5.423888;3.416255;280.187567;;;;;;;;
3-methyl-1-butene;2.454;3.815;231.14999;2.499168;3.779229;220.262743;;;;;;;;
2-pentanone;3.43;3.469;249.83;3.314181;3.56388;250.324775;;;;;;;;
Indane;3.108999;3.823;316.989983;3.263742;3.762055;328.477321;;;;;;;;
tetrachloro silane;2.730001;3.768;246.269996;2.549705;3.768976;267.102805;;;;;;;;
acetone;2.829001;3.25;250.260001;2.803512;3.290119;242.255263;;;;;;;;
butyronitrile;2.795;3.502;298.030004;2.912041;3.450107;287.353954;;;;;;;;
ethyl pentanoate;4.530999;3.522;235.959986;4.475314;3.581439;246.145966;;;;;;;;
ethyl propanoate;3.837;3.403;232.779996;3.725851;3.423854;237.972659;;;;;;;;
diethyl maleate;5.364;3.588;257.450019;5.962636;3.377767;248.307539;;;;;;;;
ethylene;1.593;3.445;176.47001;1.505134;3.545209;211.695979;;;;;;;;
decylcyclohexane;6.033;4.008;272.230022;5.404649;4.128801;287.085588;;;;;;;;
vinyl acetate;3.467;3.467;231.449983;3.377743;3.280874;236.101705;;;;;;;;
benzyl ethyl ether;4.014999;3.651;277.749988;4.240953;3.571861;269.393219;;;;;;;;
ethyl tetradecanoate;7.324001;3.845;254.10001;7.49816;3.829071;257.321213;;;;;;;;
n-butylbenzene;3.766001;3.873;283.070006;3.610163;3.799753;278.484085;;;;;;;;
octadecane;7.327;3.967;256.200027;7.522311;3.941876;256.434255;;;;;;;;
ethane;1.606999;3.521;191.419996;1.728925;3.504633;217.818972;;;;;;;;
octyl acetate;5.96;3.56;236.429998;6.096943;3.603321;239.171214;;;;;;;;
chlorobenzene;2.648999;3.753;315.039997;2.853383;3.710949;318.028247;;;;;;;;
2,2,4-trimethylpentane;3.141;4.086;249.770002;3.202919;4.077794;256.564122;;;;;;;;
2,2-dimethylhexane;3.448001;3.96;243.000008;3.498478;3.918327;244.493319;;;;;;;;
2,3-dimethylhexane;3.463;3.93;249.019985;3.594986;3.893782;248.81604;;;;;;;;
1-octyne;3.765;3.733;247.339993;3.651353;3.77558;251.3058;;;;;;;;
dimethyl silane;1.781999;4.053;241.95;2.045531;3.806143;223.994606;;;;;;;;
1-propanethiol;2.482001;3.61;275.450022;2.535218;3.632186;271.972446;;;;;;;;
diethyl sulfide;2.908;3.66;266.249985;2.853797;3.571086;258.172477;;;;;;;;
tetralin;3.313;3.875;325.070002;3.29186;3.806908;328.067662;;;;;;;;
2-hexyne;2.860001;3.737;261.659995;2.822642;3.765577;264.1211;;;;;;;;
benzene;2.464999;3.648;287.349992;2.526621;3.713788;277.700178;;;;;;;;
n-hexanal;3.678;3.542;256.130017;3.775033;3.545217;253.013811;;;;;;;;
eicosane;7.985;3.987;257.750012;8.270086;3.940337;256.979123;;;;;;;;
1-octene;3.742;3.813;243.019996;3.654161;3.863566;247.318696;;;;;;;;
toluene;2.815;3.717;285.689987;2.895645;3.810719;298.685848;;;;;;;;
dipropyl sulfide;3.549001;3.777;267.420026;3.457349;3.653209;256.854846;;;;;;;;
2,3-dimethylbutane;2.685;3.955;246.070013;2.816969;3.836386;235.427217;;;;;;;;
dipropyl phthalate;6.978;3.61;268.799991;6.981256;3.544707;267.005661;;;;;;;;
cycloheptene;2.943999;3.769;279.229997;2.760764;3.792833;293.596555;;;;;;;;
ethyl undecanoate;6.489999;3.751;248.770015;6.361297;3.782703;254.213285;;;;;;;;
2,2-dimethylbutane;2.601;4.004;243.509995;2.816045;3.965812;252.135024;;;;;;;;
n-propyl ethanoate;3.785999;3.423;235.760003;3.842528;3.372446;231.417401;;;;;;;;
dichloromethane;2.262999;3.338;274.200031;2.185735;3.450447;265.238748;;;;;;;;
1-dodecene;4.988;3.947;255.140007;5.064377;3.986593;256.052154;;;;;;;;
ethyl dodecanoate;6.886001;3.762;248.279981;6.392303;3.837329;257.332605;;;;;;;;
n-tridecanal;7.347;3.682;248.019999;7.485957;3.614593;251.515936;;;;;;;;
dodecane;5.306;3.896;249.209992;5.072714;3.923617;253.953905;;;;;;;;
nonane;4.208;3.845;244.509982;4.201322;3.838384;246.818048;;;;;;;;
1-nitropropane;3.137999;3.407;289.010032;3.256113;3.353704;282.417098;;;;;;;;
tetraethyl silane;3.743001;4.072;259.040014;3.770451;3.908186;244.970265;;;;;;;;
dimethyl sulfide;2.198999;3.498;273.249996;2.238684;3.436293;261.519975;;;;;;;;
butanone;3.075;3.393;252.270021;3.050013;3.444645;248.55666;;;;;;;;
di(2-ethylhexyl) adipate;9.874;3.901;264.120003;9.962882;3.711512;254.461062;;;;;;;;
2,2,3-trimethylpentane;3.095001;4.067;260.589998;3.202997;4.025023;252.665176;;;;;;;;
3-pentanone;3.364;3.488;252.699986;3.376502;3.466887;248.064715;;;;;;;;
docosane;8.960001;3.951;254.310004;8.993413;3.936016;257.465125;;;;;;;;
ethyl-t-butyl sulfide;3.148;3.934;268.450011;3.057317;3.848327;268.401758;;;;;;;;
3-methyl-2-butanone;3.531999;3.414;242.559996;3.388416;3.530166;250.25611;;;;;;;;
allyl acetate;3.333999;3.515;254.639996;3.806634;3.481116;242.839788;;;;;;;;
