;MAE_AARD_test;MAE_RMSE_test;MAE_AARD_test_limit;MAE_RMSE_test_limit;MAE_AARD_train;MAE_RMSE_train;MAE_AARD_train_limit;MAE_RMSE_train_limit;loss_min;epoch_min;lr;wd
36;0.127781496;1.510817972;0.114049352;2.09934958;0.080382745;0.860934471;0.060571485;0.636091995;0.00562617;754;0.00056;0
26;0.100122882;0.893390041;0.085824551;0.78264546;0.07563633;0.630817431;0.054813863;0.542776204;0.005656716;1318;0.00038;0
23;0.140638877;1.44963575;0.09047575;0.790053802;0.059932436;0.520653067;0.050051588;0.527950595;0.005691123;1387;0.00042;0
3;0.112925114;0.954281137;0.105696456;0.971479674;0.079817307;0.672097429;0.070316768;0.658625117;0.005691364;1273;0.00033;0
7;0.098361734;0.799618972;0.084731132;0.764042488;0.065063269;0.591156008;0.048586246;0.483026686;0.005710821;1549;0.00024;0
9;0.103505322;0.972848956;0.104149054;0.728456089;0.074922624;0.492160274;0.046388845;0.44898933;0.005722641;1422;0.00029;0
17;0.150249212;1.563577179;0.104477042;1.084702352;0.072373839;0.573055702;0.051918899;0.492322415;0.005778393;862;0.00058;0
16;1.245087796;11.25966841;2.82074942;22.00689084;0.103899547;0.736626983;0.065403465;0.505102305;0.005786794;699;0.00067;0
5;0.101168094;0.786392892;0.090807327;0.782894352;0.066914884;0.553769529;0.057515396;0.516679436;0.005787908;1788;0.00025;0
39;0.146721;0.990930545;0.096383695;0.917786546;0.087685484;0.671913148;0.063810392;0.555486572;0.005791874;1148;0.00043;0
21;0.172489172;2.81341332;0.090157088;4.930391422;0.066798593;0.564655588;0.051205836;0.541053057;0.005793439;921;0.00048;0
28;0.530043836;3.690490384;0.25056664;1.765470953;0.110016731;0.821998313;0.070076109;0.669140777;0.005802724;621;0.00057;0
29;0.301080115;3.971337685;0.555896768;7.261909536;0.08611501;0.650152154;0.051051257;0.561655374;0.005830268;884;0.00052;0
27;0.286314955;4.237582487;0.132139734;0.833116851;0.059867482;0.475723032;0.048501692;0.433396224;0.005833855;1023;0.00047;0
31;0.13198136;2.073538794;0.093312524;0.852346423;0.078148132;0.615146788;0.052773251;0.489318679;0.005858685;1177;0.00039;0
37;0.093146276;0.811256784;0.081380252;0.805405888;0.055266356;0.597439365;0.041201607;0.49928399;0.005877545;1720;0.00022;0
1;0.108917893;0.906587781;0.100620181;0.889099291;0.118719286;1.040010804;0.097832042;0.905148535;0.005908828;1224;0.00138;0
8;0.100484746;0.758180194;0.094542509;0.767833982;0.054531463;0.425049425;0.049683019;0.428901948;0.005957503;1324;0.00023;0
6;0.537317149;4.070695999;1.122948859;7.363140616;0.108381235;0.877772956;0.089419159;0.766759886;0.005985138;805;0.00064;0
0;0.09770898;0.783459508;0.088381058;0.780127696;0.055840785;0.470703701;0.044760235;0.451342064;0.005997409;1013;0.00016;0
34;0.100324779;0.78378428;0.095528252;0.811302658;0.060341309;0.481015951;0.05107727;0.489542616;0.006002082;1232;0.00012;0
38;0.760595551;12.43728653;1.617673272;24.49159789;0.076727769;0.654223757;0.071423577;0.59568189;0.006007299;640;0.0008;0
25;0.647277838;12.81550552;1.327253982;25.14227351;0.085281924;0.643995079;0.088688595;0.68617169;0.006023217;623;0.00084;0
33;0.455115055;2.775958413;0.932932564;4.046092299;0.096750443;0.752432829;0.085768265;0.688448734;0.006047417;758;0.00072;0
24;0.102212608;1.074294108;0.085741185;1.397397479;0.100873023;0.78801248;0.073210675;0.684075876;0.006075202;1407;0.00122;0
19;0.489076863;1.748739911;1.015694078;2.430809001;0.105503277;0.954984423;0.082248927;0.796693101;0.006105923;618;0.00085;0
10;0.44983793;3.077543875;0.077517473;5.405348432;0.099636322;0.858134178;0.074041357;0.738949406;0.006164258;465;0.00093;0
14;0.199439298;2.226079883;0.326446722;3.688385434;0.084186025;0.685694063;0.06197827;0.618464511;0.006197157;428;0.00095;0
22;0.414692362;6.407376316;0.786036627;12.05065512;0.083976805;0.761154346;0.059750442;0.601336474;0.006256463;533;0.00099;0
35;0.899604489;2.971024504;1.998035388;5.084561903;0.084198777;0.897895142;0.061067846;0.583272741;0.00627358;682;0.00081;0
12;0.552865454;11.5354374;0.891633481;22.63834914;0.084033922;0.769366332;0.057719603;0.691039119;0.006276451;616;0.00088;0
30;0.33841268;4.644331859;0.121927817;8.302029784;0.135070877;1.248308196;0.073873244;0.676012471;0.00628525;949;0.00097;0
4;0.327392976;1.695841295;0.118523793;1.046752444;0.151249252;1.333102251;0.090143598;0.798989585;0.006286329;278;0.00094;0
32;0.12687088;1.279647068;0.10701295;1.505350196;0.139791571;1.11306731;0.083852061;0.73156634;0.006394152;1311;0.0012;0
15;0.111383357;1.383432932;0.096925883;1.957884975;0.104847161;0.857539402;0.078341793;0.728001828;0.006396798;1811;0.00123;0
2;0.843065276;18.5472184;1.854764603;36.71495096;0.094924751;0.779153813;0.07220717;0.636800534;0.006408949;568;0.00092;0
13;0.442463919;5.680692621;0.10518131;10.65763866;0.087844948;0.768410572;0.069802633;0.606295345;0.006508946;305;0.00098;0
20;1.214840839;14.47258013;2.736803627;28.51543368;0.103395938;0.908248968;0.089633151;0.805698722;0.006524554;487;0.00131;0
11;0.29952121;2.018900161;0.53725859;3.1916796;0.116490995;0.820079911;0.068172496;0.620236829;0.006566065;1642;0.00111;0
18;0.212424542;4.696336015;0.141451143;8.643288067;0.096439207;0.791836683;0.069587088;0.654649524;0.006715346;386;0.00119;0
